Country,Birthrate,GDP_per_cap,Population
Burundi,5.6951,853.4425,10727153
Central African Republic,6.035,872.60364,4819341
Democratic Republic of Congo,6.437,944.79175,78656904
Malawi,4.4521,1124.0508,16938944
Niger,7.2111,1191.8284,20128132
Liberia,4.5232,1210.1753,4612330
Mozambique,5.062,1343.997,26843252
Madagascar,4.1829,1643.5133,24850912
Guinea-Bissau,4.6712,1665.3973,1788931
Burkina Faso,5.4777,1716.6113,18718022
Ethiopia,4.5309,1758.5656,102471896
Sierra Leone,4.5481,1836.8203,7314779
Haiti,3.1082,1913.0902,10563762
Togo,4.5938,1937.6711,7473232
Chad,6.7065,1942.6559,14140277
Uganda,5.306,1986.3871,37477356
Mali,6.3847,1987.0233,18112910
Rwanda,4.0805,2016.8105,11642963
Guinea,5.0217,2086.2366,11626003
Gambia,5.3136,2270.7078,2253137
Tanzania,5.0876,2468.433,52542824
Yemen,4.3224,2533.9111,28516552
Nepal,2.2498,2829.85,27610328
Zimbabwe,3.849,2880.9058,14154937
Comoros,4.4179,2988.6812,730221
Senegal,4.7813,3069.6384,14356191
Benin,5.3193,3072.4944,10932791
Zambia,4.7935,3277.0535,16248231
Tajikistan,3.4589,3297.6838,8524066
Cameroon,4.8324,3367.5437,23012650
Lesotho,3.2637,3382.4414,2118532
Cambodia,2.5497,3481.1858,15417527
Kenya,3.8,3538.2283,46851496
Bangladesh,2.1142,3714.8008,157830000
Sudan,4.8981,4144.497,38171172
Sao Tome and Principe,4.3869,4367.9287,201142
Mauritania,4.8129,4392.759,3946225
Cote d'Ivoire,4.8132,4541.9023,23596738
Pakistan,3.9041,4649.5283,210969296
Congo,4.5644,4702.7046,5064390
Djibouti,3.0661,4751.606,1006266
Myanmar,2.2475,4774.1333,51483956
Kyrgyzstan,3.1741,4853.494,5914985
Honduras,2.5811,4976.4863,9294510
Nicaragua,2.4797,5300.7627,6298610
Ghana,4.0501,5354.642,28870946
Nigeria,5.6163,5576.2925,183995776
India,2.2867,5634.441,1322866560
Syria,3.0489,5714.92,19205178
Vietnam,1.9513,6180.358,92191400
Palestine,4.0461,6230.2207,4484615
Cape Verde,2.1174,6515.8477,552169
Belize,2.4377,6594.8223,359884
Laos,2.7663,6627.723,6787420
Philippines,2.9507,7088.7803,103031360
Bolivia,2.886,7336.2764,11090090
Moldova,1.8676,7468.925,3277390
El Salvador,2.0669,7584.579,6231072
Morocco,2.5313,7604.1436,34680456
Guatemala,3.0288,7737.959,16001105
Angola,5.7744,8058.727,28127724
Jamaica,1.5883,8088.889,2794455
Eswatini,3.1169,8732.5625,1133941
Bhutan,1.9571,9778.855,743284
Dominica,1.6942,10134.615,70027
Indonesia,2.3447,10247.408,259091968
Ukraine,1.5169,10390.095,44982568
Jordan,3.1747,10457.684,9494250
Uzbekistan,2.4949,10492.51,30949416
Iraq,4.0897,10494.439,37757812
Saint Vincent and the Grenadines,2.099,10784.738,106493
Mongolia,3.0097,10785.082,2964756
Tunisia,2.2507,10798.313,11557779
Namibia,3.6041,11041.704,2282709
Guyana,2.5338,11144.114,755043
Armenia,1.6018,11156.541,2878598
Ecuador,2.2599,11354.9,16195904
Albania,1.613,11644.792,2882482
Peru,2.338,11662.247,30711864
Paraguay,2.6454,11727.364,6177954
Bosnia and Herzegovina,1.289,11810.186,3524328
Sri Lanka,2.0911,12045.038,21336692
Saint Lucia,1.4728,12314.017,175638
Algeria,3.0414,12512.007,39543148
Egypt,3.4364,12621.582,97723792
Barbados,1.6144,12689.137,278095
Georgia,2.2045,12695.076,3771135
China,1.6696,12784.436,1393715456
South Africa,2.3594,12932.482,55876504
Fiji,2.6421,12973.972,917209
Grenada,2.126,13115.285,118994
Iran,2.0535,13497.838,81790848
Colombia,1.8627,13796.842,47119728
North Macedonia,1.4977,14449.225,2107965
Azerbaijan,2.1017,14581.192,9863485
Suriname,2.4942,14760.163,575478
Brazil,1.7772,15077.577,205188208
Dominican Republic,2.43,15161.65,10405832
Botswana,2.9423,15194.871,2305177
Gabon,3.8892,15222.635,2028524
Montserrat,1.4979,15236.805,5083
Lebanon,2.1782,15271.155,6398941
Serbia,1.4605,15407.801,7519501
Thailand,1.469,15575.195,70294408
Costa Rica,1.7896,16333.762,4895241
Antigua and Barbuda,1.5665,16416.924,89958
Anguilla,1.3627,17478.207,14554
Bulgaria,1.5345,17693.727,7309255
Montenegro,1.7388,18007.459,633969
Maldives,1.9897,18039.447,435590
Mexico,2.1368,18518.387,120149896
Belarus,1.7352,19728.426,9700609
Mauritius,1.3702,20134.156,1293159
Uruguay,2.0229,20543.252,3402820
Saint Kitts and Nevis,1.6429,20730.389,47814
Argentina,2.301,21197.787,43257064
Romania,1.6123,21573.496,19906078
Turkmenistan,2.9301,22386.383,5766427
Croatia,1.4025,22547.463,4254821
Chile,1.7373,23214.646,17870122
Malaysia,2.0391,23256.72,31068834
Curacao,1.8962,23669.424,169588
Kazakhstan,2.7414,23783.732,17835908
Seychelles,2.3493,23875.107,99260
Latvia,1.6984,24716.605,1991951
Panama,2.5639,24786.473,3957102
Sint Maarten (Dutch part),1.7305,24893.516,40228
Hungary,1.4493,25278.672,9844250
Russia,1.8026,25285.736,144668384
Turkey,2.1938,25759.299,79646176
Greece,1.2862,26330.736,10806644
Lithuania,1.6977,27162.244,2963764
Poland,1.3241,27173.203,38553148
Equatorial Guinea,4.7743,27242.693,1346974
Slovakia,1.4068,27625.566,5424449
Cyprus,1.3257,28228.88,1187286
Estonia,1.5771,28516.846,1314658
Portugal,1.303,28654.186,10365436
Trinidad and Tobago,1.6822,29230.36,1460180
Slovenia,1.5771,29830.53,2080865
Bahamas,1.576,30962.688,392707
Czechia,1.5703,32746.5,10523801
Malta,1.3737,33804.832,456585
Oman,2.9594,35037.953,4191784
British Virgin Islands,1.1865,35163.727,29394
Spain,1.3313,35774.746,46431344
Italy,1.347,36995.258,60232908
New Zealand,1.9838,37060.945,4590591
Israel,3.2484,37281.348,8007777
Aruba,1.9721,37580.465,104269
South Korea,1.2028,38249.12,50994396
Japan,1.4438,40274.207,127250936
France,1.9268,40998.42,63809768
Finland,1.6477,41660.523,5479457
United Kingdom,1.8087,42629.234,65224368
Belgium,1.6986,42891.355,11248306
Taiwan,1.1674,44206.37,23512136
Canada,1.5542,46945.504,35732120
Iceland,1.8083,47414.69,331068
Denmark,1.7148,47492.906,5677795
Germany,1.5059,48064.566,82073232
Bermuda,1.44,48334.645,63165
Bahrain,2.1311,48509.74,1362157
Australia,1.8104,48712.19,23820240
Austria,1.491,49618.703,8642422
Sweden,1.8494,50104.223,9849344
Hong Kong,1.2272,51588.312,7399845
Netherlands,1.6611,51664.715,17041110
Saudi Arabia,2.6365,53927.855,32749838
Kuwait,2.16,54531.47,3908745
United States,1.8424,58543.562,324607776
Cayman Islands,1.2011,64717.41,60935
Brunei,1.9471,68632.53,421449
Norway,1.7273,70778.65,5190357
Switzerland,1.5417,71452.91,8281735
United Arab Emirates,1.4859,74834.68,8916909
Singapore,1.2248,75352.24,5650020
Ireland,1.8571,75990.266,4665764
Luxembourg,1.4642,82382.44,569415
Macao,1.1964,99116.414,615243
Qatar,1.8643,108237.445,2414580